timestamp,latency_1,latency_2,latency_3
2024-06-12 15:30:00,7.1000000000000005,9.8,8.5
2024-06-12 15:40:00,7.1000000000000005,9.8,8.5
2024-06-12 15:50:00,7.1000000000000005,9.8,8.5
2024-06-12 16:00:00,7.1000000000000005,9.8,8.5
2024-06-12 16:10:00,7.6,9.8,8.5
2024-06-12 16:20:00,7.6,9.8,8.5
2024-06-12 16:30:00,7.2,9.8,8.5
2024-06-12 16:40:00,8.0,9.8,8.5
2024-06-12 16:50:00,7.1000000000000005,9.8,8.5
2024-06-12 17:00:00,7.1000000000000005,9.8,8.5
2024-06-12 17:10:00,7.1000000000000005,9.8,8.5
2024-06-12 17:20:00,7.1000000000000005,9.8,8.5
2024-06-12 17:30:00,7.1000000000000005,9.8,8.5
2024-06-12 17:40:00,10.9,9.8,8.5
2024-06-12 17:50:00,7.1000000000000005,9.8,8.5
2024-06-12 18:00:00,7.1000000000000005,9.8,8.5
2024-06-12 18:10:00,7.0,9.8,8.5
2024-06-12 18:20:00,7.0,9.8,8.5
2024-06-12 18:30:00,7.1000000000000005,9.8,8.5
2024-06-12 18:40:00,7.1000000000000005,9.8,8.5
2024-06-12 18:50:00,7.1000000000000005,9.8,8.5
2024-06-12 19:00:00,7.1000000000000005,9.8,8.5
2024-06-12 19:10:00,7.1000000000000005,9.8,8.5
2024-06-12 19:20:00,7.0,9.8,8.5
2024-06-12 19:30:00,7.0,9.8,8.5
2024-06-12 19:40:00,7.0,9.8,8.5
2024-06-12 19:50:00,7.1000000000000005,9.8,8.5
2024-06-12 20:00:00,7.1000000000000005,9.8,8.5
2024-06-12 20:10:00,7.0,9.8,8.5
2024-06-12 20:20:00,7.0,9.8,8.5
2024-06-12 20:30:00,7.0,9.8,8.5
2024-06-12 20:40:00,7.1000000000000005,9.8,8.5
2024-06-12 20:50:00,7.8,9.8,8.5
2024-06-12 21:00:00,7.1000000000000005,9.8,8.5
2024-06-12 21:10:00,7.1000000000000005,9.8,8.5
2024-06-12 21:20:00,7.1000000000000005,9.8,8.5
2024-06-12 21:30:00,9.7,9.8,8.5
2024-06-12 21:40:00,9.7,9.8,8.5
2024-06-12 21:50:00,7.1000000000000005,9.8,8.5
2024-06-12 22:00:00,7.1000000000000005,9.8,8.5
2024-06-12 22:10:00,7.1000000000000005,9.8,8.5
2024-06-12 22:20:00,7.1000000000000005,9.8,8.5
2024-06-12 22:30:00,7.1000000000000005,9.8,8.5
2024-06-12 22:40:00,7.1000000000000005,9.8,8.5
2024-06-12 22:50:00,7.1000000000000005,9.8,8.5
2024-06-12 23:00:00,7.1000000000000005,9.8,8.5
2024-06-12 23:10:00,7.2,9.8,8.5
2024-06-12 23:20:00,7.1000000000000005,9.8,8.5
2024-06-12 23:30:00,7.1000000000000005,9.8,8.5
2024-06-12 23:40:00,7.1000000000000005,9.8,8.5
2024-06-12 23:50:00,7.1000000000000005,9.8,8.5
2024-06-13 00:00:00,7.1000000000000005,9.8,8.5
2024-06-13 00:10:00,7.1000000000000005,9.8,8.5
2024-06-13 00:20:00,7.1000000000000005,9.8,8.5
2024-06-13 00:30:00,7.1000000000000005,9.8,8.5
2024-06-13 00:40:00,8.7,9.8,8.5
2024-06-13 00:50:00,7.1000000000000005,9.8,8.5
2024-06-13 01:00:00,7.2,9.8,8.5
2024-06-13 01:10:00,7.1000000000000005,9.8,8.5
2024-06-13 01:20:00,7.1000000000000005,9.8,8.5
2024-06-13 01:30:00,7.1000000000000005,9.8,8.5
2024-06-13 01:40:00,7.1000000000000005,9.8,8.5
2024-06-13 01:50:00,7.1000000000000005,9.8,8.5
2024-06-13 02:00:00,7.1000000000000005,9.8,8.5
2024-06-13 02:10:00,7.1000000000000005,9.8,8.5
2024-06-13 02:20:00,7.1000000000000005,9.8,8.5
2024-06-13 02:30:00,7.1000000000000005,9.8,8.5
2024-06-13 02:40:00,7.1000000000000005,9.8,8.5
2024-06-13 02:50:00,7.1000000000000005,9.8,8.5
2024-06-13 03:00:00,7.1000000000000005,9.8,8.5
2024-06-13 03:10:00,88.5,9.8,8.5
2024-06-13 03:20:00,7.1000000000000005,9.8,8.5
2024-06-13 03:30:00,9.7,9.8,8.5
2024-06-13 03:40:00,7.1000000000000005,9.8,8.5
2024-06-13 03:50:00,7.3,9.8,8.5
2024-06-13 04:00:00,7.1000000000000005,9.8,8.5
2024-06-13 04:10:00,7.1000000000000005,9.8,8.5
2024-06-13 04:20:00,7.1000000000000005,9.8,8.5
2024-06-13 04:30:00,7.1000000000000005,9.8,8.5
2024-06-13 04:40:00,7.6,9.8,8.5
2024-06-13 04:50:00,7.2,9.8,8.5
2024-06-13 05:00:00,7.1000000000000005,9.8,8.5
2024-06-13 05:10:00,7.1000000000000005,9.8,8.5
2024-06-13 05:20:00,7.2,9.8,8.5
2024-06-13 05:30:00,7.1000000000000005,9.8,8.5
2024-06-13 05:40:00,7.1000000000000005,9.8,8.5
2024-06-13 05:50:00,7.1000000000000005,9.8,8.5
2024-06-13 06:00:00,7.8,9.8,8.5
2024-06-13 06:10:00,7.3,9.8,8.5
2024-06-13 06:20:00,7.1000000000000005,9.8,8.5
2024-06-13 06:30:00,7.1000000000000005,9.8,8.5
2024-06-13 06:40:00,7.2,9.8,8.5
2024-06-13 06:50:00,7.1000000000000005,9.8,8.5
2024-06-13 07:00:00,7.3,9.8,8.5
2024-06-13 07:10:00,7.1000000000000005,9.8,8.5
2024-06-13 07:20:00,7.1000000000000005,9.8,8.5
2024-06-13 07:30:00,7.1000000000000005,9.8,8.5
2024-06-13 07:40:00,7.1000000000000005,9.8,8.5
2024-06-13 07:50:00,7.1000000000000005,9.8,8.5
2024-06-13 08:00:00,7.1000000000000005,9.8,8.5
2024-06-13 08:10:00,7.1000000000000005,9.8,8.5
2024-06-13 08:20:00,7.1000000000000005,9.8,8.5
2024-06-13 08:30:00,7.1000000000000005,9.8,8.5
2024-06-13 08:40:00,7.1000000000000005,9.8,8.5
2024-06-13 08:50:00,7.0,9.8,8.5
2024-06-13 09:00:00,7.1000000000000005,9.8,8.5
2024-06-13 09:10:00,7.1000000000000005,9.8,8.5
2024-06-13 09:20:00,7.1000000000000005,9.8,8.5
2024-06-13 09:30:00,7.1000000000000005,9.8,8.5
2024-06-13 09:40:00,7.3,9.8,8.5
2024-06-13 09:50:00,7.1000000000000005,9.8,8.5
2024-06-13 10:00:00,7.1000000000000005,9.8,8.5
2024-06-13 10:10:00,7.1000000000000005,9.8,8.5
2024-06-13 10:20:00,7.1000000000000005,9.8,8.5
2024-06-13 10:30:00,7.2,9.8,8.5
2024-06-13 10:40:00,7.1000000000000005,9.8,8.5
2024-06-13 10:50:00,7.1000000000000005,9.8,8.5
2024-06-13 11:00:00,7.0,9.8,8.5
2024-06-13 11:10:00,7.0,9.8,8.5
2024-06-13 11:20:00,7.1000000000000005,9.8,8.5
2024-06-13 11:30:00,7.1000000000000005,9.8,8.5
2024-06-13 11:40:00,7.0,9.8,8.5
2024-06-13 11:50:00,7.1000000000000005,9.8,8.5
2024-06-13 12:00:00,7.1000000000000005,9.8,8.5
2024-06-13 12:10:00,7.0,9.8,8.5
2024-06-13 12:20:00,7.8,9.8,8.5
2024-06-13 12:30:00,7.1000000000000005,9.8,8.5
2024-06-13 12:40:00,7.1000000000000005,9.8,8.5
2024-06-13 12:50:00,7.1000000000000005,9.9,8.5
2024-06-13 13:00:00,7.1000000000000005,9.9,8.5
2024-06-13 13:10:00,7.1000000000000005,9.9,8.5
2024-06-13 13:20:00,7.0,9.9,8.5
2024-06-13 13:30:00,7.0,9.9,8.5
2024-06-13 13:40:00,7.1000000000000005,9.9,8.5
2024-06-13 13:50:00,7.0,9.9,8.5
2024-06-13 14:00:00,7.1000000000000005,9.9,8.5
2024-06-13 14:10:00,7.1000000000000005,9.9,8.5
2024-06-13 14:20:00,7.1000000000000005,9.9,8.5
2024-06-13 14:30:00,7.2,9.9,8.5
2024-06-13 14:40:00,7.1000000000000005,9.9,8.5
2024-06-13 14:50:00,7.1000000000000005,9.9,8.5
2024-06-13 15:00:00,7.0,9.9,8.5
2024-06-13 15:10:00,7.1000000000000005,9.9,8.5
2024-06-13 15:20:00,7.1000000000000005,9.9,8.5
2024-06-13 15:30:00,7.1000000000000005,9.9,8.5
2024-06-13 15:40:00,7.1000000000000005,9.9,8.5
2024-06-13 15:50:00,7.1000000000000005,9.9,8.5
2024-06-13 16:00:00,7.1000000000000005,9.9,8.5
2024-06-13 16:10:00,7.0,9.9,8.5
2024-06-13 16:20:00,7.0,9.9,8.5
2024-06-13 16:30:00,7.0,9.9,8.5
2024-06-13 16:40:00,7.1000000000000005,9.9,8.5
2024-06-13 16:50:00,7.1000000000000005,9.9,8.5
2024-06-13 17:00:00,7.0,9.9,8.5
2024-06-13 17:10:00,7.1000000000000005,9.9,8.5
2024-06-13 17:20:00,7.1000000000000005,9.9,8.5
2024-06-13 17:30:00,7.2,9.9,8.5
2024-06-13 17:40:00,7.1000000000000005,9.9,8.5
2024-06-13 17:50:00,7.0,9.9,8.5
2024-06-13 18:00:00,7.0,9.9,8.5
2024-06-13 18:10:00,11.2,9.9,8.5
2024-06-13 18:20:00,7.0,9.9,8.5
2024-06-13 18:30:00,7.0,9.9,8.5
2024-06-13 18:40:00,7.0,9.9,8.5
2024-06-13 18:50:00,7.1000000000000005,9.9,8.5
2024-06-13 19:00:00,7.1000000000000005,9.9,8.5
2024-06-13 19:10:00,7.1000000000000005,9.9,8.5
2024-06-13 19:20:00,7.1000000000000005,9.9,8.5
2024-06-13 19:30:00,7.0,9.9,8.5
2024-06-13 19:40:00,7.1000000000000005,9.9,8.5
2024-06-13 19:50:00,7.1000000000000005,9.9,8.5
2024-06-13 20:00:00,7.1000000000000005,9.9,8.5
2024-06-13 20:10:00,7.1000000000000005,9.9,8.5
2024-06-13 20:20:00,7.1000000000000005,9.9,8.5
2024-06-13 20:30:00,7.1000000000000005,9.9,8.5
2024-06-13 20:40:00,7.1000000000000005,9.9,8.5
2024-06-13 20:50:00,7.1000000000000005,9.9,8.5
2024-06-13 21:00:00,7.1000000000000005,9.9,8.5
2024-06-13 21:10:00,7.1000000000000005,9.9,8.5
2024-06-13 21:20:00,7.1000000000000005,9.9,8.5
2024-06-13 21:30:00,9.5,9.9,8.5
2024-06-13 21:40:00,7.3,9.9,8.5
2024-06-13 21:50:00,7.4,9.9,8.5
2024-06-13 22:00:00,7.1000000000000005,9.9,8.5
2024-06-13 22:10:00,7.1000000000000005,9.9,8.5
2024-06-13 22:20:00,7.1000000000000005,9.9,8.5
2024-06-13 22:30:00,7.1000000000000005,9.9,8.5
2024-06-13 22:40:00,7.1000000000000005,9.9,8.5
2024-06-13 22:50:00,7.1000000000000005,9.9,8.5
2024-06-13 23:00:00,7.1000000000000005,9.9,8.5
2024-06-13 23:10:00,7.1000000000000005,9.9,8.5
2024-06-13 23:20:00,9.0,9.9,8.5
2024-06-13 23:30:00,7.1000000000000005,9.9,8.5
2024-06-13 23:40:00,7.1000000000000005,9.9,8.5
2024-06-13 23:50:00,7.2,9.9,8.5
2024-06-14 00:00:00,22.700000000000003,9.9,8.5
2024-06-14 00:10:00,7.1000000000000005,9.9,8.5
2024-06-14 00:20:00,21.4,9.9,8.5
2024-06-14 00:30:00,7.1000000000000005,9.9,8.5
2024-06-14 00:40:00,7.1000000000000005,9.9,8.5
2024-06-14 00:50:00,7.1000000000000005,9.9,8.5
2024-06-14 01:00:00,7.1000000000000005,9.9,8.5
2024-06-14 01:10:00,7.1000000000000005,9.9,8.5
2024-06-14 01:20:00,7.4,9.9,8.5
2024-06-14 01:30:00,7.1000000000000005,9.9,8.5
2024-06-14 01:40:00,7.2,9.9,8.5
2024-06-14 01:50:00,7.1000000000000005,9.9,8.5
2024-06-14 02:00:00,7.1000000000000005,9.9,8.5
2024-06-14 02:10:00,7.1000000000000005,9.9,8.5
2024-06-14 02:20:00,7.2,9.9,8.5
2024-06-14 02:30:00,7.2,9.9,8.5
2024-06-14 02:40:00,7.2,9.9,8.5
2024-06-14 02:50:00,7.1000000000000005,9.9,8.5
2024-06-14 03:00:00,7.1000000000000005,9.9,8.5
2024-06-14 03:10:00,7.1000000000000005,9.9,8.5
2024-06-14 03:20:00,7.0,9.9,8.5
2024-06-14 03:30:00,9.5,9.9,8.5
2024-06-14 03:40:00,9.5,9.9,8.5
2024-06-14 03:50:00,7.1000000000000005,9.9,8.5
2024-06-14 04:00:00,7.1000000000000005,9.9,8.5
2024-06-14 04:10:00,7.1000000000000005,9.9,8.5
2024-06-14 04:20:00,7.1000000000000005,9.9,8.5
2024-06-14 04:30:00,7.1000000000000005,9.9,8.5
2024-06-14 04:40:00,7.1000000000000005,9.9,8.5
2024-06-14 04:50:00,7.1000000000000005,9.9,8.5
2024-06-14 05:00:00,7.1000000000000005,9.9,8.5
2024-06-14 05:10:00,7.1000000000000005,9.9,8.5
2024-06-14 05:20:00,7.1000000000000005,9.9,8.5
2024-06-14 05:30:00,7.1000000000000005,9.9,8.5
2024-06-14 05:40:00,7.3,9.9,8.5
2024-06-14 05:50:00,7.3,9.9,8.5
2024-06-14 06:00:00,7.3,9.9,8.5
2024-06-14 06:10:00,7.3,9.9,8.5
2024-06-14 06:20:00,7.3,9.9,8.5
2024-06-14 06:30:00,7.3,9.9,8.5
2024-06-14 06:40:00,7.3,9.9,8.5
2024-06-14 06:50:00,7.3,9.9,8.5
2024-06-14 07:00:00,7.3,9.9,8.5
2024-06-14 07:10:00,7.3,9.9,8.5
2024-06-14 07:20:00,7.3,9.9,8.5
2024-06-14 07:30:00,7.3,9.9,8.5
2024-06-14 07:40:00,7.3,9.9,8.5
2024-06-14 07:50:00,8.0,9.9,8.5
2024-06-14 08:00:00,8.0,9.9,8.5
2024-06-14 08:10:00,7.3,9.9,8.5
2024-06-14 08:20:00,7.3,9.9,8.5
2024-06-14 08:30:00,7.3,9.9,8.5
2024-06-14 08:40:00,7.3,9.9,8.5
2024-06-14 08:50:00,7.3,9.9,8.5
2024-06-14 09:00:00,7.2,9.9,8.5
2024-06-14 09:10:00,7.3,9.9,8.5
2024-06-14 09:20:00,7.3,9.9,8.5
2024-06-14 09:30:00,7.3,9.9,8.5
2024-06-14 09:40:00,8.0,9.9,8.5
2024-06-14 09:50:00,7.3,9.9,8.5
2024-06-14 10:00:00,7.3,9.9,8.5
2024-06-14 10:10:00,7.3,9.9,8.5
2024-06-14 10:20:00,7.3,9.9,8.5
2024-06-14 10:30:00,7.3,9.9,8.5
2024-06-14 10:40:00,7.2,9.9,8.5
2024-06-14 10:50:00,7.2,9.9,8.5
2024-06-14 11:00:00,7.3,9.9,8.5
2024-06-14 11:10:00,7.2,9.9,8.5
2024-06-14 11:20:00,7.3,9.7,8.5
2024-06-14 11:30:00,7.6,9.7,8.5
2024-06-14 11:40:00,7.2,9.7,8.5
2024-06-14 11:50:00,7.2,9.7,8.5
2024-06-14 12:00:00,7.2,9.7,8.5
2024-06-14 12:10:00,7.5,9.7,8.5
2024-06-14 12:20:00,7.2,9.7,8.5
2024-06-14 12:30:00,7.2,9.7,8.5
2024-06-14 12:40:00,7.6,9.7,8.5
2024-06-14 12:50:00,7.2,9.7,8.5
2024-06-14 13:00:00,7.2,9.7,8.5
2024-06-14 13:10:00,7.8,9.7,8.5
2024-06-14 13:20:00,7.3,9.7,8.5
2024-06-14 13:30:00,7.2,9.7,8.5
2024-06-14 13:40:00,7.1000000000000005,9.7,8.5
2024-06-14 13:50:00,7.3,9.7,8.5
2024-06-14 14:00:00,7.3,9.7,8.5
2024-06-14 14:10:00,7.3,9.7,8.5
2024-06-14 14:20:00,7.3,9.7,8.5
2024-06-14 14:30:00,7.3,9.7,8.5
2024-06-14 14:40:00,7.2,9.7,8.5
2024-06-14 14:50:00,7.2,9.7,8.5
2024-06-14 15:00:00,7.2,9.7,8.5
2024-06-14 15:10:00,7.2,9.7,8.5
2024-06-14 15:20:00,7.3,9.7,8.5
2024-06-14 15:30:00,9.7,9.7,8.5
2024-06-14 15:40:00,7.3,9.7,8.5
2024-06-14 15:50:00,7.2,9.7,8.5
2024-06-14 16:00:00,7.2,9.7,8.5
2024-06-14 16:10:00,8.200000000000001,9.7,8.5
2024-06-14 16:20:00,7.2,9.7,8.5
2024-06-14 16:30:00,7.3,9.7,8.5
2024-06-14 16:40:00,7.3,9.7,8.5
2024-06-14 16:50:00,7.7,9.7,8.5
2024-06-14 17:00:00,7.7,8.5,8.5
2024-06-14 17:10:00,7.0,8.5,8.5
2024-06-14 17:20:00,7.0,8.6,8.5
2024-06-14 17:30:00,7.0,9.8,8.5
2024-06-14 17:40:00,7.1000000000000005,10.5,8.5
2024-06-14 17:50:00,7.1000000000000005,10.5,8.5
2024-06-14 18:00:00,7.0,10.5,8.5
2024-06-14 18:10:00,7.0,10.5,8.5
2024-06-14 18:20:00,108.5,10.5,8.5
2024-06-14 18:30:00,7.1000000000000005,10.5,8.5
2024-06-14 18:40:00,9.6,10.5,8.5
2024-06-14 18:50:00,7.0,10.5,8.5
2024-06-14 19:00:00,7.0,10.5,8.5
2024-06-14 19:10:00,9.5,10.5,8.5
2024-06-14 19:20:00,7.1000000000000005,10.5,8.5
2024-06-14 19:30:00,7.0,10.5,8.5
2024-06-14 19:40:00,7.1000000000000005,10.5,8.5
2024-06-14 19:50:00,7.1000000000000005,10.5,8.5
2024-06-14 20:00:00,7.2,10.5,8.5
2024-06-14 20:10:00,7.1000000000000005,10.5,8.5
2024-06-14 20:20:00,7.1000000000000005,10.5,8.5
2024-06-14 20:30:00,7.0,10.5,8.5
2024-06-14 20:40:00,7.1000000000000005,10.5,8.5
2024-06-14 20:50:00,19.9,10.5,8.5
2024-06-14 21:00:00,7.2,10.5,8.5
2024-06-14 21:10:00,7.1000000000000005,10.5,8.5
2024-06-14 21:20:00,7.1000000000000005,10.5,8.5
2024-06-14 21:30:00,7.1000000000000005,10.5,8.5
2024-06-14 21:40:00,7.1000000000000005,10.5,8.5
2024-06-14 21:50:00,7.1000000000000005,10.5,8.5
2024-06-14 22:00:00,7.1000000000000005,10.5,8.5
2024-06-14 22:10:00,7.1000000000000005,10.5,8.5
2024-06-14 22:20:00,7.5,10.5,8.5
2024-06-14 22:30:00,7.1000000000000005,10.5,8.5
2024-06-14 22:40:00,7.1000000000000005,10.5,8.5
2024-06-14 22:50:00,7.1000000000000005,10.5,8.5
2024-06-14 23:00:00,7.1000000000000005,10.5,8.5
2024-06-14 23:10:00,7.3,10.5,8.5
2024-06-14 23:20:00,7.3,10.5,8.5
2024-06-14 23:30:00,7.3,10.5,8.5
2024-06-14 23:40:00,7.1000000000000005,10.5,8.5
2024-06-14 23:50:00,7.2,10.5,8.5
2024-06-15 00:00:00,7.4,10.5,8.5
2024-06-15 00:10:00,7.1000000000000005,10.5,8.5
2024-06-15 00:20:00,7.1000000000000005,10.5,8.5
2024-06-15 00:30:00,7.1000000000000005,10.5,8.5
2024-06-15 00:40:00,7.1000000000000005,10.5,8.5
2024-06-15 00:50:00,7.1000000000000005,10.5,8.5
2024-06-15 01:00:00,7.1000000000000005,10.5,8.5
2024-06-15 01:10:00,7.1000000000000005,10.5,8.5
2024-06-15 01:20:00,7.1000000000000005,10.5,8.5
2024-06-15 01:30:00,7.1000000000000005,10.5,8.5
2024-06-15 01:40:00,7.1000000000000005,10.5,8.5
2024-06-15 01:50:00,7.0,10.5,8.5
2024-06-15 02:00:00,7.2,10.5,8.5
2024-06-15 02:10:00,7.1000000000000005,10.5,8.5
2024-06-15 02:20:00,7.2,10.5,8.5
2024-06-15 02:30:00,7.1000000000000005,10.5,8.5
2024-06-15 02:40:00,7.1000000000000005,10.5,8.5
2024-06-15 02:50:00,7.1000000000000005,10.5,8.5
2024-06-15 03:00:00,7.1000000000000005,10.5,8.5
2024-06-15 03:10:00,7.9,10.5,8.5
2024-06-15 03:20:00,7.0,10.5,8.5
2024-06-15 03:30:00,7.0,10.5,8.5
2024-06-15 03:40:00,7.1000000000000005,10.5,8.5
2024-06-15 03:50:00,7.1000000000000005,10.5,8.5
2024-06-15 04:00:00,7.1000000000000005,10.5,8.5
2024-06-15 04:10:00,7.4,10.5,8.5
2024-06-15 04:20:00,7.1000000000000005,10.5,8.5
2024-06-15 04:30:00,7.1000000000000005,10.5,8.5
2024-06-15 04:40:00,7.1000000000000005,10.5,8.5
2024-06-15 04:50:00,7.1000000000000005,10.5,8.5
2024-06-15 05:00:00,7.1000000000000005,10.5,8.5
2024-06-15 05:10:00,7.1000000000000005,10.5,8.5
2024-06-15 05:20:00,7.1000000000000005,10.5,8.5
2024-06-15 05:30:00,7.1000000000000005,10.5,8.5
2024-06-15 05:40:00,7.1000000000000005,10.5,8.5
2024-06-15 05:50:00,7.1000000000000005,10.5,8.5
2024-06-15 06:00:00,7.1000000000000005,10.5,8.5
2024-06-15 06:10:00,7.2,10.5,8.5
2024-06-15 06:20:00,7.1000000000000005,10.5,8.5
2024-06-15 06:30:00,7.1000000000000005,10.5,8.5
2024-06-15 06:40:00,7.1000000000000005,10.5,8.5
2024-06-15 06:50:00,7.1000000000000005,10.5,8.5
2024-06-15 07:00:00,7.1000000000000005,10.5,8.5
2024-06-15 07:10:00,7.1000000000000005,10.5,8.5
2024-06-15 07:20:00,7.1000000000000005,10.5,8.5
2024-06-15 07:30:00,7.2,10.5,8.5
2024-06-15 07:40:00,7.2,10.5,8.5
2024-06-15 07:50:00,7.1000000000000005,10.5,8.5
2024-06-15 08:00:00,7.1000000000000005,10.5,8.5
